time,x,y,z,u,v,w,phi,theta,psi,p,q,r,Fx,Fy,Fz,l,m,n
8.78,271.5543475603652,-15.899314928351139,-4936.375177010648,52.87567077935957,4.3815898750813576,-0.8917086900157802,-0.1786703816756643,0.5410987204647766,-0.32670774224338706,-3.214599757420729,0.13308535480069508,-3.0209255460669096,67.89595158584747,-49.104143052311144,-43.31923247514757,4.4201554215716,-2.372712627040123,42.40542538394827
8.790000000000001,271.992705834319,-15.987558854566721,-4936.662364121801,52.80588715808958,5.934629175515262,-0.7297223405441688,-0.2093519637872192,0.5428175517789362,-0.3539558077582994,-3.0681582111555032,0.17188313141596429,-2.7248065514912096,67.53363420797024,-80.25623229816713,-54.15740229227161,8.313819863627348,-4.531380303983915,50.14873685448853
8.8,272.4305686692325,-16.074422412350835,-4936.951983108934,52.70640223876305,7.296905032634614,-0.5227960992069554,-0.23804480757872448,0.5446159217536728,-0.377836082480314,-2.8692843791505274,0.179836997473637,-2.38802747220145,67.06477320954485,-108.86859681210798,-72.51418177552243,12.116889234328866,-6.675281965686507,56.63274186574519
8.81,272.8676874341461,-16.160359484452204,-4937.244038365818,52.59349122294767,8.448336264950907,-0.3049197896270297,-0.26424904926039927,0.5462094097886077,-0.3980220037861999,-2.6204241681674905,0.15934880349350863,-2.018592130588603,66.44099019433084,-134.43390352009433,-94.90608374002508,15.866797353302603,-8.428350377867657,61.785342290387725
8.82,273.30384916145243,-16.24587559571209,-4937.538469175402,52.48315129449316,9.375660375983312,-0.10684359825442968,-0.2874904903431019,0.5473743231292545,-0.4142690468802108,-2.324144108270266,0.11649133406467951,-1.62470430940107,65.68280017097706,-156.54557144241025,-117.82446819160913,19.536214465753595,-9.47503945476278,65.56104618646307
8.83,273.7389004214613,-16.331520400088472,-4937.835134715033,52.38994832728859,10.071835664958822,0.04667086652714686,-0.3073247252486595,0.5479765895107866,-0.42641476614501705,-1.9834234905557642,0.060226638153208924,-1.2145719264806234,64.89926016845692,-174.90432411044702,-138.08048821644954,23.06817870354054,-9.585209073520774,67.94672610299268
8.84,274.17276712614466,-16.41786885063325,-4938.13380676133,52.32595609067063,10.535116967959718,0.13880022068382036,-0.3233420084915237,0.5479908655786505,-0.4343769009902796,-1.601728324286436,0.0014276067863773015,-0.7962134845262554,64.20211615817686,-189.3172828251222,-153.10955545602457,26.40006964823409,-8.631060814844568,68.96297951159146
8.85,274.605468210222,-16.505492807410068,-4938.434170954054,52.30002582010832,10.767984071305474,0.16174237019470059,-0.335171429164304,0.5475087562068914,-0.43814981969097655,-1.1829420672780295,-0.048210937175881055,-0.3772918700696734,63.7491061554245,-199.68961375724462,-161.20369304800658,29.480493312421856,-6.594607454762835,68.66202935275082
8.86,275.0371212255358,-16.594926738345134,-4938.735837155219,52.31743715309556,10.77611235208597,0.11695246270789267,-0.34248397097665606,0.5467360174849389,-0.4377997864156207,-0.7312541812352187,-0.07727387219524814,0.035003327535569284,63.75609234081438,-206.0103607600122,-161.6500471002734,32.276046056240524,-3.565106778319155,67.12238993951489
8.870000000000001,275.4679365031854,-16.68663156714101,-4939.03835767266,52.379663421241474,10.567548026521987,0.014632738326113365,-0.3449942711462606,0.5459795715432589,-0.43345953188731023,-0.25103001696044863,-0.07564459416798189,0.434025452831024,64.20028620186814,-208.3358880960072,-154.76206571045054,34.7737369898196,0.27287651764336274,64.44255091496072
8.88,275.8981992925632,-16.780962145376346,-4939.341252727741,52.48441802069538,10.152193958309953,-0.1273810280622858,-0.34246060788321775,0.5456259379521589,-0.42532244897291704,0.25336632630428285,-0.03536335911002643,0.8137082914392966,64.76545064344901,-206.77389072023428,-141.81101018714068,36.983298966219266,4.658748180857527,60.73542098933823
8.89,276.32824142748785,-16.87814407420703,-4939.644042498535,52.62601787042124,9.541646222941335,-0.28519194505989304,-0.3346836651268421,0.5461131931169745,-0.41363672100201754,0.7776942756375553,0.04872551648156698,1.1685727970899755,64.9392171279315,-201.47042694828525,-124.88126519515464,38.929368257262425,9.279570704801833,56.12249157288936
8.9,276.75841095327075,-16.97826695939134,-4939.9462880016445,52.79669233094546,8.749361517354519,-0.4307249138189053,-0.32150471021104265,0.5478988114685523,-0.39869950475978255,1.3178954915799515,0.17856183515778085,1.4937216242234916,64.93785883219218,-192.60280064306048,-106.66747442192052,40.64177717278657,13.79541081967149,50.72988171472814
