time,x,y,z,u,v,w,phi,theta,psi,p,q,r,Fx,Fy,Fz,l,m,n,motor0,motor1,motor2,motor3,motor4,aileron,elevator,rudder
0.22,6.8341243302170565,0.01517539453529176,-5000.015970539717,28.91369452504174,-2.6993671004428657,3.2419908963621316,-0.35656283226893404,0.16375805019492784,0.0628487691130748,-1.4740825889196305,0.6020774086379043,0.5399848649730032,-58.29083054169531,-21.383098244440415,-144.12625334042667,4.095400503644691,-4.037839393248139,-0.27564751569468027,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.23,7.125580103649003,0.0174254831419528,-5000.022902685568,28.82583846166142,-2.922319635731743,3.2445244713669656,-0.37084784167081164,0.16935249321028234,0.06824115192905911,-1.428500940187756,0.5594443015354502,0.5392382815984103,-59.13665429185392,-20.936671372639704,-144.93418202380047,4.074258592473125,-3.8688539181478805,-0.9153064554429133,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.24,7.4163656719114055,0.0196825417385379,-5000.0304166147735,28.73766248004004,-3.1427012596314023,3.232365314919485,-0.38468589643471773,0.17454536886514926,0.0735889497046962,-1.3838054763906191,0.5192875654867005,0.5347797775637293,-59.693048984647454,-20.452965879020194,-144.84613398127425,4.0205527116848065,-3.627576363367553,-1.5329364182446272,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.25,7.706480649805535,0.021916896359544233,-5000.038478236942,28.64953668549534,-3.3592461222539187,3.2072321567530166,-0.3980892202578996,0.17936690000329514,0.0788564084731922,-1.3403323823181779,0.48215311381458736,0.5267458768496013,-59.987391846214436,-19.945207578929775,-143.96293328942437,3.938108518359595,-3.3273597246251096,-2.1249981416618797,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.26,7.995928020301193,0.024101253430115648,-5000.047053442365,28.56178616785468,-3.5708037366908476,3.170897362399361,-0.4110729954682766,0.18385155701290734,0.08400934132751203,-1.2983775210376916,0.4484657009612209,0.5152932854319667,-60.05126323615372,-19.42576904013422,-142.3888003976758,3.830539749105733,-2.981114187845086,-2.6884748352151626,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.27,8.284713553773296,0.02621129888035333,-5000.056109354191,28.474694129721524,-3.776338310745269,3.1251439834427956,-0.42365497347964043,0.18803691172708792,0.08901529694289545,-1.2581978011363784,0.41853547141806113,0.5005955615383567,-59.918693074890186,-18.906128079805434,-140.22874851008308,3.7012559522196233,-2.601092931752666,-3.2208436991287996,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.28,8.572845219395022,0.0282261373055156,-5000.065615456553,28.38850592976505,-3.974926272170317,3.0717283581126797,-0.43585509931353816,0.191962572270981,0.09384369765526213,-1.2200125833897806,0.39256605438930214,0.48284007123666056,-59.62460006867901,-18.396854924817283,-137.58636655668198,3.5534584827073656,-2.1987248383727533,-3.720044044565865,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.29,8.860332612986594,0.03012857472859885,-5000.0755445873465,28.30343349499513,-4.16575248173658,3.012348329888759,-0.44769515178507513,0.19566921013669614,0.09846594987771295,-1.184005247153688,0.37066378657151206,0.4622252222450918,-59.203468619646245,-17.90762029697839,-134.56197166668153,3.3901320488127125,-1.7844905069109045,-4.184443326487902,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.3,9.147186419970417,0.031905253797007725,-5000.085873789199,28.21965966625275,-4.348105559433699,2.948616992779367,-0.4591984014333188,0.19919768701116647,0.10285552952080934,-1.1503249648243707,0.3528476874470309,0.4389579643096337,-58.68828426032401,-17.447217736801846,-131.25110621094376,3.2140365176516603,-1.3678372205715181,-4.612802347683439,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.31,9.433417926515421,0.03354665420840041,-5000.096585016298,28.137342157713643,-4.5213726755720955,2.8820417470061126,-0.4703892882783014,0.20258828558420627,0.10698804492518876,-1.119088684498261,0.3390598573039765,0.41325154043795714,-58.109728620557334,-17.023594662043635,-127.74335042036428,3.027701754587763,-0.9571281845662413,-5.0042407222654655,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.32,9.719038586817852,0.03504697390822927,-5000.10766569812,28.05661692366898,-4.685034085699416,2.814008354414456,-0.48129312118617884,0.20588004573056784,0.11084127962796808,-1.0903832907877362,0.3291760146361673,0.38532347027791874,-57.4956196969913,-16.643887863909836,-124.12142024084955,2.83342686282777,-0.5596213352481357,-5.35820345812665,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.33,10.00405965000048,0.03640390827163841,-5000.119109163848,27.97760082677018,-4.838657620104645,2.7457696149205715,-0.49193580015609806,0.20911020507455058,0.11439521707993894,-1.0642678969919128,0.3230159343982752,0.3553937451970931,-56.8705724658385,-16.314460287905206,-120.46052049545565,2.633284201314369,-0.18147321595157848,-5.674429274065261,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.34,10.288491846452736,0.037618345236360935,-5000.130914933486,27.90039358662437,-4.981893278005139,2.6784382395815394,-0.5023435623037764,0.2123137409784126,0.11763204922120352,-1.0407762147678337,0.32035359038620187,0.32368321412647727,-56.25584825783275,-16.0409369658831,-116.82792481328818,2.429127900650041,0.17223626153042643,-5.9529210380284265,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.35000000000000003,10.572345130628902,0.03869399435854406,-5000.143088883333,27.82507905380525,-5.114468024866798,2.612983468626726,-0.5125427517753351,0.2155230094088978,0.12053617061918276,-1.0199189471558796,0.32092684304850677,0.2904121397979388,-55.66935821232213,-15.828238823896747,-113.28275558473625,2.222606192621134,0.497461967913497,-6.193918515684101,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.36,10.855628475349913,0.03963696718182114,-5000.155643294782,27.7517259016288,-5.23618084925896,2.550230970665427,-0.522559613325225,0.21876747488969728,0.1230941596829842,-1.0016861549889937,0.32444654807995005,0.2557989063801598,-55.125785870003824,-15.680613771859754,-109.87593904384022,2.0151766556638595,0.7911380238207173,-6.397873461454421,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.37,11.138349711445859,0.04045532528954442,-5000.168596796258,27.68038785750822,-5.346898102977816,2.4908655594420495,-0.532420108861241,0.2220735248027097,0.12529474829731457,-0.9860495536015865,0.33060499130123444,0.22005886143305603,-54.63679586166877,-15.6016649882203,-106.65031225927078,1.8081234045559393,1.0511116128152183,-6.565426968524512,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.38,11.4205154060271,0.041158611080562665,-5000.181974208731,27.61110360941726,-5.44654912412225,2.435436274560559,-0.5421497559115855,0.2254643606214488,0.12712878107037273,-0.9729647050344432,0.33908358187390425,0.18340327730582975,-54.2112990511869,-15.594376660779169,-103.64086026141004,1.6025752761234273,1.2760688292043443,-6.6973889170007554,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.39,11.702130772660341,0.04175737477952899,-5000.195806305519,27.543896523622585,-5.535122126276545,2.3843633905486312,-0.551773486708043,0.22895995821340276,0.12858916526425723,-0.9623730796457381,0.3495597591953972,0.14603841938843987,-53.85574881161921,-15.661137656159184,-100.8750627561406,1.3995241509868417,1.4654549486952175,-6.794719314605196,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.4,11.983199607124424,0.04226270955231322,-5000.210129497188,27.47877430032445,-5.612660326690688,2.3379469427892077,-0.5613155264031182,0.2325770891056571,0.12967081237254252,-0.9542039695075133,0.36171308922544004,0.10816471082855067,-53.57444785809231,-15.803763691636945,-98.3733309367907,1.1998426788876233,1.6193912449401586,-6.8585113052923194,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
